Text,Sentiment
" Pues ahora si, feliz 2020 🎊",0
 A prime minister who cannot or will not rise to the occasion - 'No better place to raise kids': Scott Morrison's new year…,1
" What a busy year for  and #ConfigMgr! From ""COBO"" to Win32 apps to FileVault, hit milestones… ",0
 While this fire crisis is horrific - lives lost and many homes - can we please spare a thought for Aboriginal elders seei…,-1
"Blue skies ahead, and a twinkle on the horizon. Ring in the new! 

#ilovesydney #SydNYE… ",0
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
"At least six homes have been destroyed in the small New South Wales town of Quaama, north of Bega. Sky News crews w… ",-1
" ""Greens campaign to prevent backburning"" where is this apart from in your fevered imagination?",0
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
Environment update - Fermentation Coolroom: 23.19 degC. Brauhaus: 22 degC recorded at January 1 11:00 AM,0
Side project showcase - check out Ri7laty..   #sideproject #makers ,0
   Why forests are allowed to build up fuel loads to the dangerous levels that guarantee a…,-1
00:00,0
Here are the biggest stories from Bloomberg News today ,0
 British police have charged a man with criminal damage after a painting was attacked at the Tate Modern gallery  …,-1
"New Year, New You? Get in touch and see how we can help you make your next big move! 😊
​
​
​… ",1
" “You have stolen my childhood” 
-Greta-  

This is what a stolen childhood looks like. …",-1
  ANGEL BABY &lt;3,0
 You’ve clearly never volunteered for anything in your life if after 3 months you still haven’t offered RFS vollies a paymen…,1
We’d like to thank all of our partners for such an amazing year. 🎊Thank you for your warm wishes and amazing gifts.… ,1
 There's fires happening in Victoria but moreso on NSW/Vic border. Melbourne had a bad day with the sm… ,-1
I'm so excited for today ✨✨✨ ,1
" Oh, the minister for strip searching children... sorry,  the NSW Minister for Emergency Services and Strip-Searching Chil…",-1
 Thank you Om ,1
" Cet homme a dit à sa fille ""ne dis a personne que ton père est éboueur, ils se moqueront de toi.""

Sa fille a fait prend…",0
"Ayam Goreng Pandan recipe - 
",0
  He ignored these kids and adults who marched in Sydney. He has no idea sitting in Kirribilli House with his perso…,-1
"🛠 Trackwork
Until 5 Jan 2020 

Buses replace trains between Campsie and Sydenham while the train line is being upgr… ",0
Rhetorical question...,0
"#Sydney (Appin) radar (SYD offline until OCT), 128 km. Current to 10:18 AM (2318 UTC). ",-1
" Thanks, Alex, and a very happy, healthy and safe New Year to you too, and to Sophia, your mum &amp; dad,… ",1
" In so many places,  journalists, crews and teams have told the stories of those heroes and of the traumatised commun…",0
" Yes  of course it’s a national emergency of epic proportions. 

You are the only politician calling it accurate…",0
" I think the sheer distance involed would be a logistical nightmare.

Not that #bulltitts gives a h… ",0
 Goodbye 2019... ,0
" before this night end, i just wanna apologise to the ppl that I've hurt while i was hurting and thank u to everyone that…",-1
  My heart is just broken over the loss of our koalas 😪😪😪😪,-1
 ,0
" Here's the leader of Australia's opposition yesterday, amidst historic bushfires, refusing to link what's happening to g…",-1
 You're DAMNED RIGHT it's Jason Alexander.,-1
 Australia is likely to be a wrecker on global climate change policy in the 2020s and I don't see that much hope of it ch…,1
100% ✊🏾 ,0
 OPINION: The NSW practice of strip-searching children for drugs (usually finding nothing) is directed by emergency servic…,-1
"   Hey Tom, I’m from Australia (Sydney) to be specific. What isn’t been told in the press throughout th…",0
 Australia is likely to be a wrecker on global climate change policy in the 2020s and I don't see that much hope of it ch…,1
" I still have one of those Panasonic plasmas, and it’s still a fantastic telly 10 years later.",1
 OPINION: The NSW practice of strip-searching children for drugs (usually finding nothing) is directed by emergency servic…,-1
   👍,0
 Thank you Om ,1
" before this night end, i just wanna apologise to the ppl that I've hurt while i was hurting and thank u to everyone that…",-1
New Years Day ,0
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
 Why do you hate Gillard so much?,-1
" NO. I don't consent. Our government went ahead with fireworks in our cities and every corner, whilst precious animals, wil…",1
" If people want to know why Australia's government is trying to skate past this crisis, it's because the opposition is gi…",-1
Is everybody in?,0
Safe travels... come back VERY soon! ,1
Big thank you to  from  for their wonderful help early yesterday morning at very short notice to… ,1
me when I see my uni in leo dicaprio fancams,0
  Nobody cares what he says. Go back to Hawaii.,1
"   It’s playing out now 
A wierd scary bunch of god botherers with brai… ",-1
  Queenstown today assuming this is the smoke from Aus? ,0
" A haunting, supernatural new series that demands to be binged. Every episode of the brand new Stan Original series #TheG…",1
 Happy New Year from Australia lets hope 2020 ushers in new change by abolishing USA's tyrannical #FATCA #CitizenshipTa…,1
"The most famous counting down in Earth! Happy New Year everybody.  Sydney, Australia ",1
"I’m still not sure about that new blue Big Ben colour scheme. Even if it is the long-lost original one. 

Oh - happy new year btw 👍",1
" 2010 vs 2020.

#DecadeChallenge #2010vs2020 ",0
" tallu gang, tallu gang, tallu gang, tallu gang",0
Hello 2020! To kick off the year in style here are a few fashion resolutions that are actually worth keeping: ,1
"Join us in celebrating the summer of 2020…and win big with the KIIS Summer of Tickets!

This January, keep KIIS lou… ",1
" My friend  is very smart, funny and brave and today I posted my conversation with him that turned into a conve…",1
Really Ross? ,0
" In the early months of 2010 I left high school at the age of 15.

This decade has been my entire adult life. Construction to…",0
Southern highlands air quality has triggered the fog warning ,-1
